#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2016 01 04 19 48 999 99.0 99.0  0.80 15.38  7.64 292 9999.0 999.0  15.8 999.0 99.0 99.00
2016 01 04 20 48 999 99.0 99.0  0.93 14.29  8.16 291 9999.0 999.0  15.8 999.0 99.0 99.00
2016 01 04 21 18 999 99.0 99.0  0.92 14.29  7.50 291 9999.0 999.0  15.8 999.0 99.0 99.00
2016 01 04 22 18 999 99.0 99.0  0.99 14.29  8.11 291 9999.0 999.0  15.9 999.0 99.0 99.00
2016 01 04 22 48 999 99.0 99.0  1.01 14.29  8.15 292 9999.0 999.0  15.9 999.0 99.0 99.00
2016 01 04 23 18 999 99.0 99.0  1.01 14.29  8.32 294 9999.0 999.0  16.0 999.0 99.0 99.00
2016 01 04 23 48 999 99.0 99.0  0.99 14.29  8.25 292 9999.0 999.0  15.9 999.0 99.0 99.00
2016 01 05 00 18 999 99.0 99.0  1.03 14.29  8.34 294 9999.0 999.0  15.9 999.0 99.0 99.00
2016 01 05 00 48 999 99.0 99.0  0.89 12.50  7.64 291 9999.0 999.0  15.9 999.0 99.0 99.00
2016 01 05 01 18 999 99.0 99.0  1.00 14.29  8.10 289 9999.0 999.0  15.9 999.0 99.0 99.00
2016 01 05 02 18 999 99.0 99.0  1.14  7.69  8.19 244 9999.0 999.0  15.8 999.0 99.0 99.00
2016 01 05 02 48 999 99.0 99.0  1.23  7.69  8.19 242 9999.0 999.0  15.8 999.0 99.0 99.00
2016 01 05 03 18 999 99.0 99.0  1.22  8.33  8.31 249 9999.0 999.0  15.8 999.0 99.0 99.00
2016 01 05 03 48 999 99.0 99.0  1.23  8.33  8.34 247 9999.0 999.0  15.8 999.0 99.0 99.00
2016 01 05 04 48 999 99.0 99.0  1.36  8.33  8.35 247 9999.0 999.0  15.8 999.0 99.0 99.00
2016 01 05 05 18 999 99.0 99.0  1.30 14.29  8.33 288 9999.0 999.0  15.8 999.0 99.0 99.00
2016 01 05 06 18 999 99.0 99.0  1.41  9.09  8.35 261 9999.0 999.0  15.8 999.0 99.0 99.00
2016 01 05 06 48 999 99.0 99.0  1.32 15.38  8.72 291 9999.0 999.0  16.3 999.0 99.0 99.00
2016 01 05 07 18 999 99.0 99.0  1.26 15.38  8.54 294 9999.0 999.0  16.3 999.0 99.0 99.00
2016 01 05 07 48 999 99.0 99.0  1.22 14.29  8.29 296 9999.0 999.0  16.4 999.0 99.0 99.00
2016 01 05 08 18 999 99.0 99.0  1.33 14.29  8.61 296 9999.0 999.0  16.4 999.0 99.0 99.00
2016 01 05 08 48 999 99.0 99.0  1.33 15.38  8.70 296 9999.0 999.0  16.4 999.0 99.0 99.00
2016 01 05 09 18 999 99.0 99.0  1.36 15.38  8.45 296 9999.0 999.0  16.4 999.0 99.0 99.00
2016 01 05 10 18 999 99.0 99.0  1.37 15.38  8.33 299 9999.0 999.0  16.4 999.0 99.0 99.00
2016 01 05 10 48 999 99.0 99.0  1.36  8.33  8.27 256 9999.0 999.0  16.3 999.0 99.0 99.00
2016 01 05 11 18 999 99.0 99.0  1.33 14.29  8.26 298 9999.0 999.0  16.3 999.0 99.0 99.00
2016 01 05 11 48 999 99.0 99.0  1.36  8.33  8.11 256 9999.0 999.0  16.3 999.0 99.0 99.00
2016 01 05 12 18 999 99.0 99.0  1.41  9.88  8.08 271 9999.0 999.0  16.2 999.0 99.0 99.00
2016 01 05 12 48 999 99.0 99.0  1.50  8.33  8.04 256 9999.0 999.0  16.3 999.0 99.0 99.00
2016 01 05 13 18 999 99.0 99.0  1.41 14.29  8.28 294 9999.0 999.0  16.3 999.0 99.0 99.00
2016 01 05 14 18 999 99.0 99.0  1.50 14.29  8.22 291 9999.0 999.0  16.2 999.0 99.0 99.00
2016 01 05 14 48 999 99.0 99.0  1.39 11.76  7.82 278 9999.0 999.0  16.2 999.0 99.0 99.00
2016 01 05 15 18 999 99.0 99.0  1.37 12.50  7.63 287 9999.0 999.0  16.2 999.0 99.0 99.00
2016 01 05 15 48 999 99.0 99.0  1.38 14.29  7.46 288 9999.0 999.0  16.2 999.0 99.0 99.00
2016 01 05 16 18 999 99.0 99.0  1.35 13.33  7.43 292 9999.0 999.0  16.2 999.0 99.0 99.00
2016 01 05 16 48 999 99.0 99.0  1.44 13.33  7.59 288 9999.0 999.0  16.2 999.0 99.0 99.00
2016 01 05 17 18 999 99.0 99.0  1.34 13.33  7.06 289 9999.0 999.0  16.2 999.0 99.0 99.00
